date,time,air_temp_mean_K,air_p_mean_Pa,,
1/1/2020 0:00,0:00:00,252.022,95929.9,,-21.128
1/1/2020 0:00,0:30:00,252.385,95954.8,,-20.765
1/1/2020 0:00,1:00:00,252.484,95990.4,,-20.666
1/1/2020 0:00,1:30:00,252.798,96014,,-20.352
1/1/2020 0:00,2:00:00,252.973,96025.9,,-20.177
1/1/2020 0:00,2:30:00,253.174,96033.8,,-19.976
1/1/2020 0:00,3:00:00,253.216,96018.4,,-19.934
1/1/2020 0:00,3:30:00,253.375,96025.5,,-19.775
1/1/2020 0:00,4:00:00,253.613,96031.4,,-19.537
1/1/2020 0:00,4:30:00,253.766,96038.5,,-19.384
1/1/2020 0:00,5:00:00,253.924,96036.8,,-19.226
1/1/2020 0:00,5:30:00,253.95,96053.7,,-19.2
1/1/2020 0:00,6:00:00,253.931,96072.6,,-19.219
1/1/2020 0:00,6:30:00,253.834,96085.1,,-19.316
1/1/2020 0:00,7:00:00,253.608,96105.5,,-19.542
1/1/2020 0:00,7:30:00,253.279,96128.2,,-19.871
1/1/2020 0:00,8:00:00,253.114,96152.4,,-20.036
1/1/2020 0:00,8:30:00,253.175,96201.2,,-19.975
1/1/2020 0:00,9:00:00,253.446,96246.7,,-19.704
1/1/2020 0:00,9:30:00,253.717,96302.2,,-19.433
1/1/2020 0:00,10:00:00,254.004,96346.6,,-19.146
1/1/2020 0:00,10:30:00,254.163,96398.3,,-18.987
1/1/2020 0:00,11:00:00,254.245,96445.3,,-18.905
1/1/2020 0:00,11:30:00,254.388,96505.5,,-18.762
1/1/2020 0:00,12:00:00,254.553,96564.9,,-18.597
1/1/2020 0:00,12:30:00,254.705,96626,,-18.445
1/1/2020 0:00,13:00:00,255.015,96707.1,,-18.135
1/1/2020 0:00,13:30:00,254.787,96795.1,,-18.363
1/1/2020 0:00,14:00:00,254.409,96869.6,,-18.741
1/1/2020 0:00,14:30:00,254.013,96947.1,,-19.137
1/1/2020 0:00,15:00:00,253.938,96982.3,,-19.212
1/1/2020 0:00,15:30:00,253.617,97019.5,,-19.533
1/1/2020 0:00,16:00:00,253.534,97065.4,,-19.616
1/1/2020 0:00,16:30:00,253.319,97133.1,,-19.831
1/1/2020 0:00,17:00:00,253.308,97180,,-19.842
1/1/2020 0:00,17:30:00,253.327,97222.5,,-19.823
1/1/2020 0:00,18:00:00,253.206,97273.7,,-19.944
1/1/2020 0:00,18:30:00,253.011,97312.5,,-20.139
1/1/2020 0:00,19:00:00,252.828,97363.3,,-20.322
1/1/2020 0:00,19:30:00,252.869,97415,,-20.281
1/1/2020 0:00,20:00:00,252.848,97476.9,,-20.302
1/1/2020 0:00,20:30:00,252.845,97510.6,,-20.305
1/1/2020 0:00,21:00:00,252.937,97543.5,,-20.213
1/1/2020 0:00,21:30:00,252.92,97597.3,,-20.23
1/1/2020 0:00,22:00:00,252.853,97633.6,,-20.297
1/1/2020 0:00,22:30:00,252.894,97678.8,,-20.256
1/1/2020 0:00,23:00:00,252.895,97736.8,,-20.255
1/1/2020 0:00,23:30:00,252.896,97767.1,,-20.254
1/2/2020 0:00,0:00:00,252.95,97787.1,,-20.2
1/2/2020 0:00,0:30:00,252.983,97817.1,,-20.167
1/2/2020 0:00,1:00:00,252.966,97856,,-20.184
1/2/2020 0:00,1:30:00,252.99,97881,,-20.16
1/2/2020 0:00,2:00:00,253.096,97925.7,,-20.054
1/2/2020 0:00,2:30:00,252.996,97956.5,,-20.154
1/2/2020 0:00,3:00:00,252.846,97971.4,,-20.304
1/2/2020 0:00,3:30:00,252.799,97971,,-20.351
1/2/2020 0:00,4:00:00,252.701,97983,,-20.449
1/2/2020 0:00,4:30:00,252.422,98001.2,,-20.728
1/2/2020 0:00,5:00:00,252.083,98023.1,,-21.067
1/2/2020 0:00,5:30:00,251.834,98037.1,,-21.316
1/2/2020 0:00,6:00:00,251.635,98057.6,,-21.515
1/2/2020 0:00,6:30:00,251.127,98096.3,,-22.023
1/2/2020 0:00,7:00:00,250.74,98129.8,,-22.41
1/2/2020 0:00,7:30:00,250.557,98144.5,,-22.593
1/2/2020 0:00,8:00:00,250.188,98154.6,,-22.962
1/2/2020 0:00,8:30:00,249.772,98178.3,,-23.378
1/2/2020 0:00,9:00:00,249.269,98219.8,,-23.881
1/2/2020 0:00,9:30:00,248.552,98266.9,,-24.598
1/2/2020 0:00,10:00:00,247.931,98301.7,,-25.219
1/2/2020 0:00,10:30:00,247.328,98334.2,,-25.822
1/2/2020 0:00,11:00:00,247.411,98337.3,,-25.739
1/2/2020 0:00,11:30:00,247.75,98334.7,,-25.4
1/2/2020 0:00,12:00:00,247.864,98352.6,,-25.286
1/2/2020 0:00,12:30:00,247.976,98358.5,,-25.174
1/2/2020 0:00,13:00:00,248.111,98364.9,,-25.039
1/2/2020 0:00,13:30:00,248.617,98377.6,,-24.533
1/2/2020 0:00,14:00:00,249.438,98378,,-23.712
1/2/2020 0:00,14:30:00,249.886,98385,,-23.264
1/2/2020 0:00,15:00:00,250.06,98384.5,,-23.09
1/2/2020 0:00,15:30:00,250.38,98382.2,,-22.77
1/2/2020 0:00,16:00:00,250.663,98394.4,,-22.487
1/2/2020 0:00,16:30:00,250.818,98386.8,,-22.332
1/2/2020 0:00,17:00:00,250.503,98381.9,,-22.647
1/2/2020 0:00,17:30:00,250.379,98370.4,,-22.771
1/2/2020 0:00,18:00:00,250.565,98382.1,,-22.585
1/2/2020 0:00,18:30:00,250.707,98397.7,,-22.443
1/2/2020 0:00,19:00:00,250.816,98405.9,,-22.334
1/2/2020 0:00,19:30:00,251.031,98417.7,,-22.119
1/2/2020 0:00,20:00:00,251.246,98434.4,,-21.904
1/2/2020 0:00,20:30:00,251.425,98455.8,,-21.725
1/2/2020 0:00,21:00:00,251.586,98457.9,,-21.564
1/2/2020 0:00,21:30:00,251.743,98450.6,,-21.407
1/2/2020 0:00,22:00:00,251.888,98449.9,,-21.262
1/2/2020 0:00,22:30:00,252.007,98463.2,,-21.143
1/2/2020 0:00,23:00:00,251.618,98471.4,,-21.532
1/2/2020 0:00,23:30:00,250.209,98479.7,,-22.941
1/3/2020 0:00,0:00:00,249.639,98478.6,,-23.511
1/3/2020 0:00,0:30:00,250.121,98485.9,,-23.029
1/3/2020 0:00,1:00:00,250.764,98487.9,,-22.386
1/3/2020 0:00,1:30:00,251.176,98495.3,,-21.974
1/3/2020 0:00,2:00:00,251.731,98495.8,,-21.419
1/3/2020 0:00,2:30:00,252.053,98482,,-21.097
1/3/2020 0:00,3:00:00,251.967,98480.4,,-21.183
1/3/2020 0:00,3:30:00,251.688,98466.6,,-21.462
1/3/2020 0:00,4:00:00,251.133,98454.4,,-22.017
1/3/2020 0:00,4:30:00,250.293,98443.8,,-22.857
1/3/2020 0:00,5:00:00,249.106,98434.6,,-24.044
1/3/2020 0:00,5:30:00,248.321,98433.6,,-24.829
1/3/2020 0:00,6:00:00,247.427,98420.5,,-25.723
1/3/2020 0:00,6:30:00,246.068,98412.1,,-27.082
1/3/2020 0:00,7:00:00,245.025,98418.2,,-28.125
1/3/2020 0:00,7:30:00,244.347,98424.8,,-28.803
1/3/2020 0:00,15:00:00,243.233,98352.9,,-29.917
1/3/2020 0:00,15:30:00,242.52,98347,,-30.63
1/3/2020 0:00,16:00:00,241.528,98340.7,,-31.622
1/3/2020 0:00,16:30:00,241.044,98321.6,,-32.106
1/3/2020 0:00,17:00:00,240.259,98324.3,,-32.891
1/3/2020 0:00,17:30:00,240.081,98325.2,,-33.069
1/16/2020 0:00,17:30:00,249.074,100232,,-24.076
1/16/2020 0:00,18:00:00,,,,-273.15
1/16/2020 0:00,18:30:00,246.685,100190,,-26.465
1/16/2020 0:00,19:00:00,245.923,100169,,-27.227
1/16/2020 0:00,19:30:00,247.401,100157,,-25.749
1/16/2020 0:00,20:00:00,246.866,100110,,-26.284
1/16/2020 0:00,20:30:00,245.877,100075,,-27.273
1/16/2020 0:00,21:00:00,245.387,100063,,-27.763
1/16/2020 0:00,21:30:00,244.979,100069,,-28.171
1/16/2020 0:00,22:00:00,244.459,100062,,-28.691
1/16/2020 0:00,22:30:00,243.476,100046,,-29.674
1/16/2020 0:00,23:00:00,243.241,100027,,-29.909
1/16/2020 0:00,23:30:00,243.509,100005,,-29.641
1/17/2020 0:00,0:00:00,243.02,99966.4,,-30.13
1/17/2020 0:00,0:30:00,242.523,99951.1,,-30.627
1/17/2020 0:00,1:00:00,242.325,99922.5,,-30.825
1/17/2020 0:00,1:30:00,242.184,99895.3,,-30.966
1/17/2020 0:00,2:00:00,242.101,99888.7,,-31.049
1/17/2020 0:00,2:30:00,241.997,99868.5,,-31.153
1/17/2020 0:00,3:00:00,241.89,99865.8,,-31.26
1/17/2020 0:00,3:30:00,241.6,99848.5,,-31.55
1/17/2020 0:00,4:00:00,241.763,99832.1,,-31.387
1/17/2020 0:00,4:30:00,241.491,99799.7,,-31.659
1/17/2020 0:00,5:00:00,241.513,99783.1,,-31.637
1/17/2020 0:00,5:30:00,241.491,99771.2,,-31.659
1/17/2020 0:00,6:00:00,241.225,99775.2,,-31.925
1/17/2020 0:00,6:30:00,241.214,99766.2,,-31.936
1/17/2020 0:00,7:00:00,240.919,99750.6,,-32.231
1/17/2020 0:00,7:30:00,240.788,99742.6,,-32.362
1/17/2020 0:00,8:00:00,240.869,99735.4,,-32.281
1/17/2020 0:00,8:30:00,240.677,99733.5,,-32.473
1/17/2020 0:00,9:00:00,240.42,99720.5,,-32.73
1/17/2020 0:00,9:30:00,240.235,99718.8,,-32.915
1/17/2020 0:00,10:00:00,239.947,99710.8,,-33.203
1/17/2020 0:00,10:30:00,239.739,99705.2,,-33.411
1/17/2020 0:00,11:00:00,240.155,99695.1,,-32.995
1/17/2020 0:00,12:30:00,240.643,99659.1,,-32.507
1/17/2020 0:00,13:00:00,,,,-273.15
1/17/2020 0:00,13:30:00,242.895,99612.7,,-30.255
1/17/2020 0:00,14:00:00,243.314,99584.2,,-29.836
1/17/2020 0:00,14:30:00,243.639,99582.7,,-29.511
1/17/2020 0:00,15:00:00,242.54,99545.9,,-30.61
1/17/2020 0:00,15:30:00,241.912,99518.7,,-31.238
1/17/2020 0:00,16:00:00,241.32,99519.4,,-31.83
1/17/2020 0:00,16:30:00,240.57,99508,,-32.58
1/17/2020 0:00,17:00:00,240.091,99504.9,,-33.059
1/17/2020 0:00,17:30:00,239.478,99497.7,,-33.672
1/17/2020 0:00,18:00:00,239.381,99500.3,,-33.769
1/17/2020 0:00,18:30:00,239.593,99483.1,,-33.557
1/17/2020 0:00,19:00:00,239.118,99477.7,,-34.032
1/17/2020 0:00,19:30:00,238.852,99481,,-34.298
1/17/2020 0:00,20:00:00,238.752,99479,,-34.398
1/17/2020 0:00,20:30:00,238.661,99482.6,,-34.489
1/17/2020 0:00,21:00:00,238.577,99459,,-34.573
1/17/2020 0:00,21:30:00,238.021,99452.6,,-35.129
1/17/2020 0:00,22:00:00,237.783,99448.7,,-35.367
1/17/2020 0:00,22:30:00,237.635,99456,,-35.515
1/17/2020 0:00,23:00:00,237.558,99445.9,,-35.592
1/17/2020 0:00,23:30:00,237.481,99438.7,,-35.669
1/18/2020 0:00,0:00:00,238.037,99429.7,,-35.113
1/18/2020 0:00,0:30:00,238.082,99413.2,,-35.068
1/18/2020 0:00,1:00:00,238.868,99395.9,,-34.282
1/18/2020 0:00,1:30:00,239.655,99363.5,,-33.495
1/18/2020 0:00,2:00:00,239.287,99332,,-33.863
1/18/2020 0:00,2:30:00,238.549,99315.2,,-34.601
1/18/2020 0:00,3:00:00,238.094,99298.8,,-35.056
1/18/2020 0:00,3:30:00,237.994,99283.5,,-35.156
1/18/2020 0:00,4:00:00,237.955,99257.8,,-35.195
1/18/2020 0:00,4:30:00,238.329,99231.6,,-34.821
1/18/2020 0:00,5:00:00,238.312,99209,,-34.838
1/18/2020 0:00,5:30:00,238.449,99191.7,,-34.701
1/18/2020 0:00,6:00:00,238.159,99184.3,,-34.991
1/18/2020 0:00,6:30:00,237.927,99160.7,,-35.223
1/18/2020 0:00,7:00:00,237.621,99143.1,,-35.529
1/22/2020 0:00,17:30:00,246.01,98668.6,,-27.14
1/22/2020 0:00,18:00:00,,,,-273.15
1/22/2020 0:00,18:30:00,247.06,98694.2,,-26.09
1/22/2020 0:00,19:00:00,246.538,98703.4,,-26.612
1/22/2020 0:00,19:30:00,246.167,98706.8,,-26.983
1/22/2020 0:00,20:00:00,246.236,98703.6,,-26.914
1/22/2020 0:00,20:30:00,246.434,98707.6,,-26.716
1/22/2020 0:00,21:00:00,246.317,99001.5,,-26.833
1/22/2020 0:00,21:30:00,245.547,99040.2,,-27.603
1/22/2020 0:00,22:00:00,245.477,99057.1,,-27.673
1/22/2020 0:00,22:30:00,246.155,98719.4,,-26.995
1/22/2020 0:00,23:00:00,246.724,99002.7,,-26.426
1/22/2020 0:00,23:30:00,246.863,99002.7,,-26.287
1/23/2020 0:00,0:00:00,247.072,99007.6,,-26.078
1/23/2020 0:00,0:30:00,246.999,98976.2,,-26.151
1/23/2020 0:00,1:00:00,247.135,98722.3,,-26.015
1/23/2020 0:00,1:30:00,247.672,98726.2,,-25.478
1/23/2020 0:00,2:00:00,248.168,98724.3,,-24.982
1/23/2020 0:00,2:30:00,248.538,98713.4,,-24.612
1/23/2020 0:00,3:00:00,248.828,98696.6,,-24.322
1/23/2020 0:00,3:30:00,249.215,98681.9,,-23.935
1/23/2020 0:00,4:00:00,249.5,98683.1,,-23.65
1/23/2020 0:00,4:30:00,249.661,98673.2,,-23.489
1/23/2020 0:00,5:00:00,249.69,98667.7,,-23.46
1/23/2020 0:00,5:30:00,249.665,98663.9,,-23.485
1/23/2020 0:00,6:00:00,249.441,98649,,-23.709
1/23/2020 0:00,6:30:00,248.828,98658,,-24.322
1/23/2020 0:00,7:00:00,248.485,99039,,-24.665
1/25/2020 0:00,17:30:00,249.354,99155.6,,-23.796
1/25/2020 0:00,18:00:00,,,,-273.15
1/25/2020 0:00,18:30:00,248.89,99168.4,,-24.26
1/25/2020 0:00,19:00:00,248.164,99181.2,,-24.986
1/25/2020 0:00,19:30:00,249.098,99177.1,,-24.052
1/25/2020 0:00,20:00:00,248.088,99184.2,,-25.062
1/25/2020 0:00,20:30:00,246.433,99189.3,,-26.717
1/25/2020 0:00,21:00:00,246.725,99192.8,,-26.425
1/25/2020 0:00,21:30:00,247.853,99197,,-25.297
1/25/2020 0:00,22:00:00,247.215,99191.6,,-25.935
1/25/2020 0:00,22:30:00,247.42,99178,,-25.73
1/25/2020 0:00,23:00:00,246.137,99164.1,,-27.013
1/25/2020 0:00,23:30:00,246.463,99141.7,,-26.687
1/26/2020 0:00,0:00:00,247.299,99123.6,,-25.851
1/26/2020 0:00,0:30:00,246.614,99099.9,,-26.536
1/26/2020 0:00,1:00:00,244.718,99082.6,,-28.432
1/26/2020 0:00,1:30:00,244.181,99060,,-28.969
1/26/2020 0:00,2:00:00,243.159,99026.5,,-29.991
1/26/2020 0:00,2:30:00,243.875,99005.2,,-29.275
1/26/2020 0:00,3:00:00,244.162,98972.6,,-28.988
1/26/2020 0:00,3:30:00,244.534,98935.1,,-28.616
1/26/2020 0:00,4:00:00,244.749,98900.1,,-28.401
1/26/2020 0:00,4:30:00,245.951,98864.6,,-27.199
1/26/2020 0:00,5:00:00,244.11,98821.4,,-29.04
1/26/2020 0:00,5:30:00,242.348,98812,,-30.802
1/26/2020 0:00,6:00:00,240.763,98776.4,,-32.387
1/26/2020 0:00,6:30:00,239.013,98734.9,,-34.137
1/26/2020 0:00,7:00:00,238.859,98683.4,,-34.291
1/26/2020 0:00,7:30:00,239.74,98662.8,,-33.41
1/26/2020 0:00,8:00:00,239.089,98650.3,,-34.061
1/26/2020 0:00,8:30:00,240.585,98588.4,,-32.565
1/26/2020 0:00,9:00:00,242.29,98554.1,,-30.86
1/26/2020 0:00,9:30:00,243.306,98522.8,,-29.844
1/26/2020 0:00,10:00:00,244.218,98488.3,,-28.932
1/26/2020 0:00,10:30:00,244.989,98459,,-28.161
1/26/2020 0:00,11:00:00,245.71,98429.5,,-27.44
1/26/2020 0:00,11:30:00,246.577,98401.6,,-26.573
1/26/2020 0:00,12:00:00,247.881,98381.2,,-25.269
1/26/2020 0:00,12:30:00,248,98375.3,,-25.15
1/26/2020 0:00,13:00:00,248.258,98349.7,,-24.892
1/26/2020 0:00,13:30:00,248.271,98330.3,,-24.879
1/26/2020 0:00,14:00:00,248.229,98315.9,,-24.921
1/26/2020 0:00,14:30:00,248.453,98297.2,,-24.697
1/26/2020 0:00,15:00:00,248.594,98285.9,,-24.556
1/26/2020 0:00,15:30:00,248.689,98299.5,,-24.461
1/26/2020 0:00,16:00:00,248.553,98306.4,,-24.597
1/26/2020 0:00,16:30:00,248.483,98316.6,,-24.667
1/26/2020 0:00,17:00:00,248.433,98314.6,,-24.717
1/26/2020 0:00,17:30:00,248.419,98331.3,,-24.731
1/26/2020 0:00,18:00:00,248.423,98353,,-24.727
1/26/2020 0:00,18:30:00,248.398,98366.7,,-24.752
1/26/2020 0:00,19:00:00,248.331,98376.6,,-24.819
1/26/2020 0:00,19:30:00,248.274,98385.9,,-24.876
1/26/2020 0:00,20:00:00,248.129,98398.1,,-25.021
1/26/2020 0:00,20:30:00,247.031,98431.1,,-26.119
1/26/2020 0:00,21:00:00,245.29,98457.6,,-27.86
1/26/2020 0:00,21:30:00,244.571,98483.1,,-28.579
1/26/2020 0:00,22:00:00,244.308,98512.1,,-28.842
1/26/2020 0:00,22:30:00,243.739,98537.1,,-29.411
1/26/2020 0:00,23:00:00,242.355,98561.7,,-30.795
1/26/2020 0:00,23:30:00,240.977,98579.1,,-32.173
1/27/2020 0:00,0:00:00,239.555,98596.8,,-33.595
1/27/2020 0:00,0:30:00,238.56,98606.2,,-34.59
1/27/2020 0:00,1:00:00,238.384,98625.4,,-34.766
1/27/2020 0:00,1:30:00,239.451,98637.7,,-33.699
1/27/2020 0:00,2:00:00,240.164,98639.3,,-32.986
1/27/2020 0:00,2:30:00,241.438,98625.5,,-31.712
1/27/2020 0:00,3:00:00,241.978,98613.4,,-31.172
1/27/2020 0:00,3:30:00,242.417,98604.8,,-30.733
1/27/2020 0:00,4:00:00,242.549,98606,,-30.601
1/27/2020 0:00,4:30:00,242.454,98607.4,,-30.696
1/27/2020 0:00,5:00:00,242.508,98588.4,,-30.642
1/27/2020 0:00,5:30:00,241.752,98581.6,,-31.398
1/27/2020 0:00,6:00:00,240.617,98592,,-32.533
1/27/2020 0:00,6:30:00,239.272,98592.5,,-33.878
1/27/2020 0:00,7:00:00,238,98599.4,,-35.15
1/27/2020 0:00,7:30:00,237.161,98609,,-35.989
1/27/2020 0:00,8:00:00,236.431,98612,,-36.719
1/27/2020 0:00,8:30:00,235.774,98618.4,,-37.376
1/27/2020 0:00,9:00:00,235.492,98613.9,,-37.658
1/27/2020 0:00,9:30:00,235.502,98600.1,,-37.648
1/27/2020 0:00,10:00:00,235.331,98577.5,,-37.819
1/27/2020 0:00,10:30:00,235.181,98558.6,,-37.969
1/27/2020 0:00,11:00:00,235.089,98555.9,,-38.061
1/27/2020 0:00,11:30:00,236.529,98581.8,,-36.621
1/27/2020 0:00,12:00:00,237.974,98557.8,,-35.176
1/27/2020 0:00,12:30:00,239.224,98531,,-33.926
1/27/2020 0:00,13:00:00,239.748,98541.8,,-33.402
1/27/2020 0:00,13:30:00,240.464,98511.7,,-32.686
1/27/2020 0:00,14:00:00,241.234,98482.5,,-31.916
1/27/2020 0:00,14:30:00,241.572,98471.5,,-31.578
1/27/2020 0:00,15:00:00,241.997,98473.6,,-31.153
1/27/2020 0:00,15:30:00,242.279,98461.7,,-30.871
1/27/2020 0:00,16:00:00,242.446,98416.8,,-30.704
1/27/2020 0:00,16:30:00,242.405,98399.9,,-30.745
1/27/2020 0:00,17:00:00,242.157,98398.1,,-30.993
1/27/2020 0:00,17:30:00,241.719,98387,,-31.431
1/28/2020 0:00,17:30:00,240.582,97787,,-32.568
1/28/2020 0:00,18:00:00,,,,-273.15
1/28/2020 0:00,18:30:00,239.193,97715.8,,-33.957
1/28/2020 0:00,19:00:00,239.497,97679.2,,-33.653
1/28/2020 0:00,19:30:00,239.31,97663.1,,-33.84
1/28/2020 0:00,20:00:00,239.018,97633.8,,-34.132
1/28/2020 0:00,20:30:00,238.293,97602.6,,-34.857
1/28/2020 0:00,21:00:00,238.611,97536.1,,-34.539
1/28/2020 0:00,21:30:00,238.75,97520.8,,-34.4
1/28/2020 0:00,22:00:00,239.309,97492.5,,-33.841
1/28/2020 0:00,22:30:00,239.706,97458.9,,-33.444
1/28/2020 0:00,23:00:00,240.042,97383.8,,-33.108
1/28/2020 0:00,23:30:00,239.988,97328.4,,-33.162
1/29/2020 0:00,0:00:00,239.445,97273.2,,-33.705
1/29/2020 0:00,0:30:00,238.646,97190.9,,-34.504
1/29/2020 0:00,1:00:00,238.155,97149,,-34.995
1/29/2020 0:00,1:30:00,237.938,97104.5,,-35.212
1/29/2020 0:00,2:00:00,238.009,97057.5,,-35.141
1/29/2020 0:00,17:30:00,252.22,96000,,-20.93
1/29/2020 0:00,18:00:00,,,,-273.15
1/29/2020 0:00,18:30:00,250.157,96079.9,,-22.993
1/29/2020 0:00,19:00:00,249.464,96103.6,,-23.686
1/29/2020 0:00,19:30:00,249.432,96135.5,,-23.718
1/29/2020 0:00,20:00:00,249.297,96157.2,,-23.853
1/29/2020 0:00,20:30:00,249.54,96199.2,,-23.61
1/29/2020 0:00,21:00:00,249.626,96223.5,,-23.524
1/29/2020 0:00,21:30:00,249.995,96259.3,,-23.155
1/29/2020 0:00,22:00:00,250.179,96292.3,,-22.971
1/29/2020 0:00,22:30:00,250.306,96330.6,,-22.844
1/29/2020 0:00,23:00:00,250.338,96396.2,,-22.812
1/29/2020 0:00,23:30:00,250.428,96414.2,,-22.722
1/30/2020 0:00,0:00:00,250.587,96446.7,,-22.563
1/30/2020 0:00,0:30:00,250.503,96489.6,,-22.647
1/30/2020 0:00,1:00:00,250.126,96540.6,,-23.024
1/30/2020 0:00,1:30:00,250.203,96597.7,,-22.947
1/30/2020 0:00,2:00:00,250.174,96620,,-22.976
1/30/2020 0:00,2:30:00,250.316,96648.7,,-22.834
1/30/2020 0:00,3:00:00,250.64,96683.5,,-22.51
1/30/2020 0:00,3:30:00,250.911,96717.4,,-22.239
1/30/2020 0:00,4:00:00,251.002,96750.1,,-22.148
1/30/2020 0:00,4:30:00,250.661,96771.8,,-22.489
1/30/2020 0:00,5:00:00,250.249,96802.3,,-22.901
1/30/2020 0:00,5:30:00,249.972,96817.7,,-23.178
1/30/2020 0:00,6:00:00,249.709,96847.5,,-23.441
1/30/2020 0:00,6:30:00,249.467,96864.9,,-23.683
1/30/2020 0:00,7:00:00,249.508,96871.4,,-23.642
1/30/2020 0:00,7:30:00,249.385,96870.2,,-23.765
1/30/2020 0:00,17:30:00,245.246,96941.3,,-27.904
1/30/2020 0:00,18:00:00,,,,-273.15
1/30/2020 0:00,18:30:00,242.693,97004.6,,-30.457
1/30/2020 0:00,19:00:00,241.695,97030.7,,-31.455
1/30/2020 0:00,19:30:00,241.802,97073.3,,-31.348
1/30/2020 0:00,20:00:00,242.094,97082.2,,-31.056
1/30/2020 0:00,20:30:00,241.353,97102.6,,-31.797
1/30/2020 0:00,21:00:00,240.463,97150.2,,-32.687
1/30/2020 0:00,21:30:00,240.03,97204.6,,-33.12
1/30/2020 0:00,22:00:00,239.908,97256.5,,-33.242
1/30/2020 0:00,22:30:00,239.742,97282.7,,-33.408
1/30/2020 0:00,23:00:00,240.292,97305.8,,-32.858
1/30/2020 0:00,23:30:00,241.5,97347.3,,-31.65
1/31/2020 0:00,0:00:00,242.815,97397.5,,-30.335
1/31/2020 0:00,0:30:00,243.706,97424.3,,-29.444
1/31/2020 0:00,1:00:00,244.255,97447.4,,-28.895
1/31/2020 0:00,1:30:00,244.623,97476.7,,-28.527
1/31/2020 0:00,2:00:00,245.088,97516.1,,-28.062
1/31/2020 0:00,2:30:00,245.138,97533.7,,-28.012
1/31/2020 0:00,3:00:00,244.284,97566.3,,-28.866
1/31/2020 0:00,3:30:00,242.703,97600.8,,-30.447
1/31/2020 0:00,4:00:00,241.438,97639.2,,-31.712
1/31/2020 0:00,4:30:00,241.673,97669,,-31.477
1/31/2020 0:00,5:00:00,242.825,97698.7,,-30.325
1/31/2020 0:00,5:30:00,243.548,97727.8,,-29.602
2/1/2020 0:00,13:30:00,242.973,99075.2,,-30.177
2/1/2020 0:00,14:00:00,243.254,99075.2,,-29.896
2/1/2020 0:00,14:30:00,243.348,99025.7,,-29.802
2/1/2020 0:00,15:00:00,243.148,99025.7,,-30.002
2/1/2020 0:00,15:30:00,242.571,99109,,-30.579
2/1/2020 0:00,16:00:00,241.428,99093.3,,-31.722
2/1/2020 0:00,16:30:00,239.98,99093.3,,-33.17
2/1/2020 0:00,17:30:00,238.161,99074,,-34.989
2/1/2020 0:00,18:00:00,,,,-273.15
2/1/2020 0:00,18:30:00,237.17,99035.3,,-35.98
2/1/2020 0:00,19:00:00,236.652,99098.2,,-36.498
2/1/2020 0:00,19:30:00,236.48,99140.5,,-36.67
2/1/2020 0:00,20:00:00,236.406,99140.5,,-36.744
2/1/2020 0:00,20:30:00,236.236,99242.1,,-36.914
2/1/2020 0:00,21:00:00,236.147,99242.1,,-37.003
2/1/2020 0:00,21:30:00,236.335,99066.7,,-36.815
2/1/2020 0:00,22:00:00,236.13,99054.7,,-37.02
2/1/2020 0:00,22:30:00,235.66,99054.7,,-37.49
2/1/2020 0:00,23:00:00,235.007,99111.4,,-38.143
2/1/2020 0:00,23:30:00,234.711,99111.4,,-38.439
2/2/2020 0:00,0:00:00,234.686,99099.4,,-38.464
2/2/2020 0:00,0:30:00,234.447,98989.4,,-38.703
2/2/2020 0:00,1:00:00,234.353,98989.4,,-38.797
2/2/2020 0:00,1:30:00,234.47,99480.8,,-38.68
2/2/2020 0:00,2:00:00,234.623,99480.8,,-38.527
2/2/2020 0:00,2:30:00,234.496,99192.5,,-38.654
2/2/2020 0:00,14:00:00,247.482,99075.2,,-25.668
2/2/2020 0:00,14:30:00,248.297,99075.2,,-24.853
2/2/2020 0:00,15:00:00,248.905,99019.6,,-24.245
2/2/2020 0:00,15:30:00,249.217,99019.6,,-23.933
2/2/2020 0:00,16:00:00,249.647,99063.1,,-23.503
2/2/2020 0:00,16:30:00,249.901,99019.6,,-23.249
2/3/2020 0:00,13:30:00,257.68,99075.2,,-15.47
2/3/2020 0:00,14:00:00,257.458,99075.2,,-15.692
2/3/2020 0:00,14:30:00,257.668,99071.6,,-15.482
2/3/2020 0:00,15:00:00,258.118,99071.6,,-15.032
2/3/2020 0:00,15:30:00,258.082,99095.7,,-15.068
2/3/2020 0:00,16:00:00,258.145,99046.2,,-15.005
2/3/2020 0:00,16:30:00,257.039,99046.2,,-16.111
2/3/2020 0:00,17:30:00,254.149,97644,,-19.001
2/3/2020 0:00,18:00:00,,,,-273.15
2/3/2020 0:00,18:30:00,251.889,97589.6,,-21.261
2/3/2020 0:00,19:00:00,251.008,97573.9,,-22.142
2/3/2020 0:00,19:30:00,250.313,97571.2,,-22.837
2/3/2020 0:00,20:00:00,250.173,97556.5,,-22.977
2/3/2020 0:00,20:30:00,250.698,97522.6,,-22.452
2/3/2020 0:00,21:00:00,250.988,97481.1,,-22.162
2/3/2020 0:00,21:30:00,251.286,97453.8,,-21.864
2/3/2020 0:00,22:00:00,251.759,97422.1,,-21.391
2/3/2020 0:00,22:30:00,252.272,97396.8,,-20.878
2/3/2020 0:00,23:00:00,253.067,97371.9,,-20.083
2/3/2020 0:00,23:30:00,253.77,97358.3,,-19.38
2/4/2020 0:00,0:00:00,253.79,97333.5,,-19.36
